,Name,Stage,Generation,Type1,Legendary/Mythical,Final Score
551,Sandile,0.0,5.0,Ground,N,4.5
552,Krokorok,1.0,5.0,Ground,N,4
553,Krookodile,2.0,5.0,Ground,N,4
554,Darumaka,0.0,5.0,Fire,N,3
555,Darmanitan,1.0,5.0,Fire,N,2
556,Maractus,0.0,5.0,Grass,N,3.75
557,Dwebble,0.0,5.0,Bug,N,3.75
558,Crustle,1.0,5.0,Bug,N,3.6
559,Scraggy,0.0,5.0,Dark,N,2.38
560,Scrafty,1.0,5.0,Dark,N,2.5
561,Sigilyph,0.0,5.0,Psychic,N,1.75
562,Yamask,0.0,5.0,Ghost,N,3.8
563,Cofagrigus,1.0,5.0,Ghost,N,2.75
564,Tirtouga,0.0,5.0,Water,N,3.5
565,Carracosta,1.0,5.0,Water,N,3.8
566,Archen,0.0,5.0,Rock,N,4.13
567,Archeops,1.0,5.0,Rock,N,4
568,Trubbish,0.0,5.0,Poison,N,1.75
569,Garbodor,1.0,5.0,Poison,N,1
570,Zorua,0.0,5.0,Dark,N,5
571,Zoroark,1.0,5.0,Dark,N,3.6
572,Minccino,0.0,5.0,Normal,N,3.75
573,Cinccino,1.0,5.0,Normal,N,3.4
574,Gothita,0.0,5.0,Psychic,N,2.88
575,Gothorita,1.0,5.0,Psychic,N,3.8
576,Gothitelle,2.0,5.0,Psychic,N,3.6
577,Solosis,0.0,5.0,Psychic,N,3.38
578,Duosion,1.0,5.0,Psychic,N,3.5
579,Reuniclus,2.0,5.0,Psychic,N,3.8
580,Ducklett,0.0,5.0,Water,N,2.75
581,Swanna,1.0,5.0,Water,N,2.2
582,Vanillite,0.0,5.0,Ice,N,3
583,Vanillish,1.0,5.0,Ice,N,2.7
584,Vanilluxe,2.0,5.0,Ice,N,2.8
585,Deerling,0.0,5.0,Normal,N,4.13
586,Sawsbuck,1.0,5.0,Normal,N,4.4
587,Emolga,0.0,5.0,Electric,N,3.75
588,Karrablast,0.0,5.0,Bug,N,2
589,Escavalier,1.0,5.0,Bug,N,2.2
590,Foongus,0.0,5.0,Grass,N,4.25
591,Amoonguss,1.0,5.0,Grass,N,1.8
592,Frillish,0.0,5.0,Water,N,3.5
593,Jellicent,1.0,5.0,Water,N,1.8
594,Alomomola,0.0,5.0,Water,N,3.5
595,Joltik,0.0,5.0,Bug,N,4.63
596,Galvantula,1.0,5.0,Bug,N,3.6
597,Ferroseed,0.0,5.0,Grass,N,1
598,Ferrothorn,1.0,5.0,Grass,N,1.2
599,Klink,0.0,5.0,Steel,N,3
600,Klang,1.0,5.0,Steel,N,3.3
601,Klinklang,2.0,5.0,Steel,N,3.3
602,Tynamo,0.0,5.0,Electric,N,3.38
603,Eelektrik,1.0,5.0,Electric,N,2.6
604,Eelektross,2.0,5.0,Electric,N,3.6
605,Elgyem,0.0,5.0,Psychic,N,3.75
606,Beheeyem,1.0,5.0,Psychic,N,2.8
607,Litwick,0.0,5.0,Ghost,N,4
608,Lampent,1.0,5.0,Ghost,N,4.4
609,Chandelure,2.0,5.0,Ghost,N,3.6
610,Axew,0.0,5.0,Dragon,N,4.5
611,Fraxure,1.0,5.0,Dragon,N,4.3
612,Haxorus,2.0,5.0,Dragon,N,3.8
613,Cubchoo,0.0,5.0,Ice,N,3.75
614,Beartic,1.0,5.0,Ice,N,2.1
615,Cryogonal,0.0,5.0,Ice,N,2.5
616,Shelmet,0.0,5.0,Bug,N,2.25
617,Accelgor,1.0,5.0,Bug,N,1.4
618,Stunfisk,0.0,5.0,Ground,N,2.75
619,Mienfoo,0.0,5.0,Fighting,N,3.5
620,Mienshao,1.0,5.0,Fighting,N,3.5
621,Druddigon,0.0,5.0,Dragon,N,3.75
622,Golett,0.0,5.0,Ground,N,3.88
623,Golurk,1.0,5.0,Ground,N,3.8
624,Pawniard,0.0,5.0,Dark,N,3
625,Bisharp,1.0,5.0,Dark,N,3.2
626,Bouffalant,0.0,5.0,Normal,N,3.25
627,Rufflet,0.0,5.0,Normal,N,3.38
628,Braviary,1.0,5.0,Normal,N,3.8
629,Vullaby,0.0,5.0,Dark,N,1
630,Mandibuzz,1.0,5.0,Dark,N,1.4
631,Heatmor,0.0,5.0,Fire,N,2.25
632,Durant,0.0,5.0,Bug,N,2.25
633,Deino,0.0,5.0,Dark,N,3.5
634,Zweilous,1.0,5.0,Dark,N,3.8
635,Hydreigon,2.0,5.0,Dark,N,3.6
636,Larvesta,0.0,5.0,Bug,N,2.75
637,Volcarona,1.0,5.0,Bug,N,2.8
638,Cobalion,0.0,5.0,Steel,Y,3.7
639,Terrakion,0.0,5.0,Rock,Y,3.5
640,Virizion,0.0,5.0,Grass,Y,3.8
641,Tornadus,0.0,5.0,Flying,Y,3.7
642,Thundurus,0.0,5.0,Electric,Y,3.4
643,Reshiram,0.0,5.0,Dragon,Y,4.8
644,Zekrom,0.0,5.0,Dragon,Y,4.4
645,Landorus,0.0,5.0,Ground,Y,3.4
646,Kyurem,0.0,5.0,Dragon,Y,4
647,Keldeo,0.0,5.0,Water,Y,3.8
649,Meloetta,0.0,5.0,Normal,Y,4.1
650,Genesect,0.0,5.0,Bug,Y,4
651,Chespin,0.0,6.0,Grass,N,3.25
652,Quilladin,1.0,6.0,Grass,N,2.1
653,Chesnaught,2.0,6.0,Grass,N,2.6
654,Fennekin,0.0,6.0,Fire,N,4.5
655,Braixen,1.0,6.0,Fire,N,3.6
656,Delphox,2.0,6.0,Fire,N,3.6
657,Froakie,0.0,6.0,Water,N,4.5
658,Frogadier,1.0,6.0,Water,N,3.6
659,Greninja,2.0,6.0,Water,N,4.6
660,Bunnelby,0.0,6.0,Normal,N,3.5
661,Diggersby,1.0,6.0,Normal,N,1.8
662,Fletchling,0.0,6.0,Normal,N,4.63
663,Fletchinder,1.0,6.0,Fire,N,4.7
664,Talonflame,2.0,6.0,Fire,N,4.8
665,Scatterbug,0.0,6.0,Bug,N,2.75
666,Spewpa,1.0,6.0,Bug,N,4
667,Vivillon,2.0,6.0,Bug,N,4.2
668,Litleo,0.0,6.0,Fire,N,3.5
669,Pyroar,1.0,6.0,Fire,N,3.5
670,Flabébé,0.0,6.0,Fairy,N,4.25
671,Floette,1.0,6.0,Fairy,N,4.3
672,Florges,2.0,6.0,Fairy,N,3.2
673,Skiddo,0.0,6.0,Grass,N,4.25
674,Gogoat,1.0,6.0,Grass,N,4.1
675,Pancham,0.0,6.0,Fighting,N,3.25
676,Pangoro,1.0,6.0,Fighting,N,3.2
677,Furfrou,0.0,6.0,Normal,N,4
678,Espurr,0.0,6.0,Psychic,N,4
679,Meowstic,1.0,6.0,Psychic,N,3.88
680,Honedge,0.0,6.0,Steel,N,3.13
681,Doublade,1.0,6.0,Steel,N,3.2
682,Aegislash,2.0,6.0,Steel,N,3
683,Spritzee,0.0,6.0,Fairy,N,3.63
684,Aromatisse,1.0,6.0,Fairy,N,2
685,Swirlix,0.0,6.0,Fairy,N,3.38
686,Slurpuff,1.0,6.0,Fairy,N,3
687,Inkay,0.0,6.0,Dark,N,3
688,Malamar,1.0,6.0,Dark,N,2.2
689,Binacle,0.0,6.0,Rock,N,1
690,Barbaracle,1.0,6.0,Rock,N,1.13
691,Skrelp,0.0,6.0,Poison,N,3.25
692,Dragalge,1.0,6.0,Poison,N,4
693,Clauncher,0.0,6.0,Water,N,2.5
694,Clawitzer,1.0,6.0,Water,N,2.2
695,Helioptile,0.0,6.0,Electric,N,4
696,Heliolisk,1.0,6.0,Electric,N,4
697,Tyrunt,0.0,6.0,Rock,N,4.25
698,Tyrantrum,1.0,6.0,Rock,N,5
699,Amaura,0.0,6.0,Rock,N,4.13
700,Aurorus,1.0,6.0,Rock,N,4.6
701,Sylveon,1.0,6.0,Fairy,N,4
702,Hawlucha,0.0,6.0,Fighting,N,3
703,Dedenne,0.0,6.0,Electric,N,3.5
704,Carbink,0.0,6.0,Rock,N,3.8
705,Goomy,0.0,6.0,Dragon,N,3.25
706,Sliggoo,1.0,6.0,Dragon,N,3.4
707,Goodra,2.0,6.0,Dragon,N,3.4
708,Klefki,0.0,6.0,Steel,N,3.75
709,Phantump,0.0,6.0,Ghost,N,3.5
710,Trevenant,1.0,6.0,Ghost,N,3
711,Pumpkaboo,0.0,6.0,Ghost,N,4
712,Gourgeist,1.0,6.0,Ghost,N,2.2
713,Bergmite,0.0,6.0,Ice,N,3.63
714,Avalugg,1.0,6.0,Ice,N,3.63
715,Noibat,0.0,6.0,Flying,N,4
716,Noivern,1.0,6.0,Flying,N,4.1
717,Xerneas,0.0,6.0,Fairy,Y,4.7
718,Yveltal,0.0,6.0,Dark,Y,4.2
719,Zygarde,0.0,6.0,Dragon,Y,4.2
720,Diancie,0.0,6.0,Rock,Y,4.1
721,Hoopa,0.0,6.0,Psychic,Y,4.2
722,Volcanion,0.0,6.0,Fire,Y,3.25
723,Rowlet,0.0,7.0,Grass,N,4.75
724,Dartrix,1.0,7.0,Grass,N,2.6
725,Decidueye,2.0,7.0,Grass,N,4.8
726,Litten,0.0,7.0,Fire,N,3.25
727,Torracat,1.0,7.0,Fire,N,3.4
728,Incineroar,2.0,7.0,Fire,N,3.6
729,Popplio,0.0,7.0,Water,N,4
730,Brionne,1.0,7.0,Water,N,4
731,Primarina,2.0,7.0,Water,N,3.8
732,Pikipek,0.0,7.0,Normal,N,4.38
733,Trumbeak,1.0,7.0,Normal,N,4.25
734,Toucannon,2.0,7.0,Normal,N,4.25
735,Yungoos,0.0,7.0,Normal,N,2.5
736,Gumshoos,1.0,7.0,Normal,N,2
737,Grubbin,0.0,7.0,Bug,N,1.75
738,Charjabug,1.0,7.0,Bug,N,1.8
739,Vikavolt,2.0,7.0,Bug,N,1
740,Crabrawler,0.0,7.0,Fighting,N,1.63
741,Crabominable,1.0,7.0,Fighting,N,1
742,Oricorio,0.0,7.0,Fire,N,3.5
743,Cutiefly,0.0,7.0,Bug,N,4.25
744,Ribombee,1.0,7.0,Bug,N,3.4
745,Rockruff,0.0,7.0,Rock,N,5
746,Lycanroc,1.0,7.0,Rock,N,5
747,Wishiwashi,0.0,7.0,Water,N,3
748,Mareanie,0.0,7.0,Poison,N,2.75
749,Toxapex,1.0,7.0,Poison,N,1.6
750,Mudbray,0.0,7.0,Ground,N,3.5
751,Mudsdale,1.0,7.0,Ground,N,3.5
752,Dewpider,0.0,7.0,Water,N,1.5
753,Araquanid,1.0,7.0,Water,N,1.6
754,Fomantis,0.0,7.0,Grass,N,3.75
755,Lurantis,1.0,7.0,Grass,N,3.4
756,Morelull,0.0,7.0,Grass,N,4.5
757,Shiinotic,1.0,7.0,Grass,N,1.8
758,Salandit,0.0,7.0,Poison,N,3
759,Salazzle,1.0,7.0,Poison,N,2
760,Stufful,0.0,7.0,Normal,N,4
761,Bewear,1.0,7.0,Normal,N,3.4
762,Bounsweet,0.0,7.0,Grass,N,3.75
763,Steenee,1.0,7.0,Grass,N,2.3
764,Tsareena,2.0,7.0,Grass,N,2
765,Comfey,0.0,7.0,Fairy,N,3.75
766,Oranguru,0.0,7.0,Normal,N,1.5
767,Passimian,0.0,7.0,Fighting,N,2.5
768,Wimpod,0.0,7.0,Bug,N,1.75
769,Golisopod,1.0,7.0,Bug,N,2.8
770,Sandygast,0.0,7.0,Ghost,N,2.75
771,Palossand,1.0,7.0,Ghost,N,3.2
772,Pyukumuku,0.0,7.0,Water,N,3
773,Type: Null,0.0,7.0,Normal,Y,3.8
774,Silvally,1.0,7.0,Normal,Y,3.6
775,Minior,0.0,7.0,Rock,N,4.13
776,Komala,0.0,7.0,Normal,N,3
777,Turtonator,0.0,7.0,Fire,N,2.5
778,Togedemaru,0.0,7.0,Electric,N,3.75
779,Mimikyu,0.0,7.0,Ghost,N,4.6
780,Bruxish,0.0,7.0,Water,N,1
781,Drampa,0.0,7.0,Normal,N,3
782,Dhelmise,0.0,7.0,Ghost,N,1.5
783,Jangmo-o,0.0,7.0,Dragon,N,4
784,Hakamo-o,1.0,7.0,Dragon,N,3.2
785,Kommo-o,2.0,7.0,Dragon,N,3.8
786,Tapu Koko,0.0,7.0,Electric,Y,3.6
787,Tapu Lele,0.0,7.0,Psychic,Y,3.6
788,Tapu Bulu,0.0,7.0,Grass,Y,2.8
789,Tapu Fini,0.0,7.0,Water,Y,3.6
790,Cosmog,0.0,7.0,Psychic,Y,5
791,Cosmoem,1.0,7.0,Psychic,Y,4
792,Solgaleo,2.0,7.0,Psychic,Y,5
793,Lunala,2.0,7.0,Psychic,Y,4.2
794,Nihilego,0.0,7.0,Rock,Y,4
795,Buzzwole,0.0,7.0,Bug,Y,2.1
796,Pheromosa,0.0,7.0,Bug,Y,2.1
797,Xurkitree,0.0,7.0,Electric,Y,2
798,Celesteela,0.0,7.0,Steel,Y,1.2
799,Kartana,0.0,7.0,Grass,Y,3.8
800,Guzzlord,0.0,7.0,Dark,Y,1.8
801,Necrozma,0.0,7.0,Psychic,Y,3.5
802,Magearna,0.0,7.0,Steel,Y,3.75
803,Marshadow,0.0,7.0,Fighting,Y,4.3
804,Poipole,0.0,7.0,Poison,Y,3.4
805,Naganadel,1.0,7.0,Poison,Y,2.2
806,Stakataka,0.0,7.0,Rock,Y,2.6
807,Blacephalon,0.0,7.0,Fire,Y,2
808,Zeraora,0.0,7.0,Electric,Y,3.8
809,Meltan,0.0,7.0,Steel,Y,4
810,Melmetal,1.0,7.0,Steel,Y,3.17
811,Grookey,0.0,8.0,Grass,N,2.63
812,Thwackey,1.0,8.0,Grass,N,1.6
813,Rillaboom,2.0,8.0,Grass,N,2
814,Scorbunny,0.0,8.0,Fire,N,3.75
815,Raboot,1.0,8.0,Fire,N,3.6
816,Cinderace,2.0,8.0,Fire,N,3.6
817,Sobble,0.0,8.0,Water,N,4.25
818,Drizzile,1.0,8.0,Water,N,1.7
819,Inteleon,2.0,8.0,Water,N,2.9
820,Skwovet,0.0,8.0,Normal,N,3.25
821,Greedent,1.0,8.0,Normal,N,2.7
822,Rookidee,0.0,8.0,Flying,N,3.75
823,Corvisquire,1.0,8.0,Flying,N,4
824,Corviknight,2.0,8.0,Flying,N,4.7
825,Blipbug,0.0,8.0,Bug,N,1.5
826,Dottler,1.0,8.0,Bug,N,1.9
827,Orbeetle,2.0,8.0,Bug,N,1.5
828,Nickit,0.0,8.0,Dark,N,3.75
829,Thievul,1.0,8.0,Dark,N,3.3
830,Gossifleur,0.0,8.0,Grass,N,2.5
831,Eldegoss,1.0,8.0,Grass,N,2.2
832,Wooloo,0.0,8.0,Normal,N,4.25
833,Dubwool,1.0,8.0,Normal,N,3.2
834,Chewtle,0.0,8.0,Water,N,2.88
835,Drednaw,1.0,8.0,Water,N,3.9
836,Yamper,0.0,8.0,Electric,N,5
837,Boltund,1.0,8.0,Electric,N,3.8
838,Rolycoly,0.0,8.0,Rock,N,2
839,Carkol,1.0,8.0,Rock,N,1.6
840,Coalossal,2.0,8.0,Rock,N,1
841,Applin,0.0,8.0,Grass,N,3.13
842,Flapple,1.0,8.0,Grass,N,3.3
843,Appletun,1.0,8.0,Grass,N,3.4
844,Silicobra,0.0,8.0,Ground,N,1.75
845,Sandaconda,1.0,8.0,Ground,N,1
846,Cramorant,0.0,8.0,Flying,N,1.75
847,Arrokuda,0.0,8.0,Water,N,2.25
848,Barraskewda,1.0,8.0,Water,N,2
849,Toxel,0.0,8.0,Electric,N,2.5
850,Toxtricity,1.0,8.0,Electric,N,3.2
851,Sizzlipede,0.0,8.0,Fire,N,2.75
852,Centiskorch,1.0,8.0,Fire,N,2.8
853,Clobbopus,0.0,8.0,Fighting,N,4.25
854,Grapploct,1.0,8.0,Fighting,N,2.5
855,Sinistea,0.0,8.0,Ghost,N,2.75
856,Polteageist,1.0,8.0,Ghost,N,3.1
857,Hatenna,0.0,8.0,Psychic,N,3.75
858,Hattrem,1.0,8.0,Psychic,N,3.8
859,Hatterene,2.0,8.0,Psychic,N,2.4
860,Impidimp,0.0,8.0,Dark,N,1.5
861,Morgrem,1.0,8.0,Dark,N,1.25
862,Grimmsnarl,2.0,8.0,Dark,N,1.4
863,Obstagoon,2.0,8.0,Dark,N,3
864,Perrserker,2.0,8.0,Steel,N,2.2
865,Cursola,1.0,8.0,Ghost,N,3.4
866,Sirfetch'd,1.0,8.0,Fighting,N,3.7
867,Mr. Rime,2.0,8.0,Ice,N,2
868,Runerigus,1.0,8.0,Ground,N,3.2
869,Milcery,0.0,8.0,Fairy,N,3.63
870,Alcremie,1.0,8.0,Fairy,N,3.8
871,Falinks,0.0,8.0,Fighting,N,2.5
872,Pincurchin,0.0,8.0,Electric,N,2.5
873,Snom,0.0,8.0,Ice,N,4
874,Frosmoth,1.0,8.0,Ice,N,2.7
875,Stonjourner,0.0,8.0,Rock,N,1.75
876,Eiscue,0.0,8.0,Ice,N,2.25
877,Indeedee,0.0,8.0,Psychic,N,2.25
878,Morpeko,0.0,8.0,Electric,N,4
879,Cufant,0.0,8.0,Steel,N,2.5
880,Copperajah,1.0,8.0,Steel,N,3.3
881,Dracozolt,0.0,8.0,Electric,N,2.75
882,Arctozolt,0.0,8.0,Electric,N,3.25
883,Dracovish,0.0,8.0,Water,N,2.25
884,Arctovish,0.0,8.0,Water,N,2.75
885,Duraludon,0.0,8.0,Steel,N,2
886,Dreepy,0.0,8.0,Dragon,N,4.25
887,Drakloak,1.0,8.0,Dragon,N,4.25
888,Dragapult,2.0,8.0,Dragon,N,4.5
889,Zacian,0.0,8.0,Fairy,Y,4.6
890,Zamazenta,0.0,8.0,Fighting,Y,4.6
891,Eternatus,0.0,8.0,Poison,Y,3.2
892,Kubfu,0.0,8.0,Fighting,Y,3
893,Urshifu,0.0,8.0,Fighting,Y,4.2
894,Zarude,0.0,8.0,Dark,Y,1.25
895,Regieleki,0.0,8.0,Electric,Y,3.9
896,Regidrago,0.0,8.0,Dragon,Y,4.1
897,Glastrier,0.0,8.0,Ice,Y,3.2
898,Spectrier,0.0,8.0,Ghost,Y,3.4
899,Calyrex,0.0,8.0,Psychic,Y,2.6
900,Wyrdeer,1.0,8.0,Normal,N,3.2
901,Kleavor,1.0,8.0,Bug,N,1.4
902,Ursaluna,2.0,8.0,Ground,N,4
903,Basculegion,1.0,8.0,Water,N,4
904,Sneasler,1.0,8.0,Fighting,N,1.6
905,Overqwil,1.0,8.0,Dark,N,2.2
906,Enamorus,0.0,8.0,Fairy,Y,3
907,Sprigatito,0.0,9.0,Grass,N,4.5
908,Floragato,1.0,9.0,Grass,N,3.63
909,Meowscarada,2.0,9.0,Grass,N,3.63
910,Fuecoco,0.0,9.0,Fire,N,4
911,Crocalor,1.0,9.0,Fire,N,1.88
912,Skeledirge,2.0,9.0,Fire,N,3.63
913,Quaxly,0.0,9.0,Water,N,3.33
914,Quaxwell,1.0,9.0,Water,N,2.25
915,Quaquaval,2.0,9.0,Water,N,1.75
916,Lechonk,0.0,9.0,Normal,N,2.67
917,Oinkologne,1.0,9.0,Normal,N,1.75
918,Tarountula,0.0,9.0,Bug,N,2.83
919,Spidops,1.0,9.0,Bug,N,1.75
920,Nymble,0.0,9.0,Bug,N,3
921,Lokix,1.0,9.0,Bug,N,1.5
922,Pawmi,0.0,9.0,Electric,N,4.83
923,Pawmo,1.0,9.0,Electric,N,4.88
924,Pawmot,2.0,9.0,Electric,N,3.38
925,Tandemaus,0.0,9.0,Normal,N,4
926,Maushold,1.0,9.0,Normal,N,4
927,Fidough,0.0,9.0,Fairy,N,4.17
928,Dachsbun,1.0,9.0,Fairy,N,3.63
929,Smoliv,0.0,9.0,Grass,N,3
930,Dolliv,1.0,9.0,Grass,N,3.38
931,Arboliva,2.0,9.0,Grass,N,2.88
932,Squawkabilly,0.0,9.0,Normal,N,2
933,Nacli,0.0,9.0,Rock,N,2.17
934,Naclstack,1.0,9.0,Rock,N,1.5
935,Garganacl,2.0,9.0,Rock,N,1.38
936,Charcadet,0.0,9.0,Fire,N,3.5
937,Armarouge,1.0,9.0,Fire,N,3.75
938,Ceruledge,1.0,9.0,Fire,N,3.25
939,Tadbulb,0.0,9.0,Electric,N,3
940,Bellibolt,1.0,9.0,Electric,N,2.75
941,Wattrel,0.0,9.0,Electric,N,3.5
942,Kilowattrel,1.0,9.0,Electric,N,2.5
943,Maschiff,0.0,9.0,Dark,N,2.33
944,Mabosstiff,1.0,9.0,Dark,N,3.75
945,Shroodle,0.0,9.0,Poison,N,1.17
946,Grafaiai,1.0,9.0,Poison,N,2.88
947,Bramblin,0.0,9.0,Grass,N,2.67
948,Brambleghast,1.0,9.0,Grass,N,1.63
949,Toedscool,0.0,9.0,Ground,N,4
950,Toedscruel,1.0,9.0,Ground,N,4.13
951,Klawf,0.0,9.0,Rock,N,1.67
952,Capsakid,0.0,9.0,Grass,N,1.67
953,Scovillain,1.0,9.0,Grass,N,1.88
954,Rellor,0.0,9.0,Bug,N,1
955,Rabsca,1.0,9.0,Bug,N,3
956,Flittle,0.0,9.0,Psychic,N,3
957,Espathra,1.0,9.0,Psychic,N,3.75
958,Tinkatink,0.0,9.0,Fairy,N,4.33
959,Tinkatuff,1.0,9.0,Fairy,N,4.38
960,Tinkaton,2.0,9.0,Fairy,N,4.63
961,Wiglett,0.0,9.0,Water,N,4
962,Wugtrio,1.0,9.0,Water,N,4.25
963,Bombirdier,0.0,9.0,Flying,N,3
964,Finizen,0.0,9.0,Water,N,4
965,Palafin,1.0,9.0,Water,N,3.5
966,Varoom,0.0,9.0,Steel,N,1.67
967,Revavroom,1.0,9.0,Steel,N,1
968,Cyclizar,0.0,9.0,Dragon,N,3.67
969,Orthworm,0.0,9.0,Steel,N,1.33
970,Glimmet,0.0,9.0,Rock,N,2
971,Glimmora,1.0,9.0,Rock,N,1.33
972,Greavard,0.0,9.0,Ghost,N,4
973,Houndstone,1.0,9.0,Ghost,N,2.25
974,Flamigo,0.0,9.0,Flying,N,3
975,Cetoddle,0.0,9.0,Ice,N,3.67
976,Cetitan,1.0,9.0,Ice,N,2.25
977,Veluza,0.0,9.0,Water,N,2.83
978,Dondozo,0.0,9.0,Water,N,3.67
979,Tatsugiri,0.0,9.0,Dragon,N,5
980,Annihilape,0.0,9.0,Fighting,N,1.75
981,Clodsire,0.0,9.0,Poison,N,4.5
982,Farigiraf,0.0,9.0,Normal,N,2.5
983,Dudunsparce,0.0,9.0,Normal,N,2.13
984,Kingambit,0.0,9.0,Dark,N,1.63
985,Great Tusk,0.0,9.0,Ground,N,4
986,Scream Tail,0.0,9.0,Fairy,N,2.67
987,Brute Bonnet,0.0,9.0,Grass,N,2.67
988,Flutter Mane,0.0,9.0,Ghost,N,3.67
989,Slither Wing,0.0,9.0,Bug,N,3.83
990,Sandy Shocks,0.0,9.0,Electric,N,2.67
991,Iron Treads,0.0,9.0,Ground,N,1
992,Iron Bundle,0.0,9.0,Ice,N,1
993,Iron Hands,0.0,9.0,Fighting,N,2.5
994,Iron Jugulis,0.0,9.0,Dark,N,2.5
995,Iron Moth,0.0,9.0,Fire,N,3.5
996,Iron Thorns,0.0,9.0,Rock,N,1.67
997,Frigibax,0.0,9.0,Dragon,N,2.83
998,Arctibax,1.0,9.0,Dragon,N,4.13
999,Baxcalibur,2.0,9.0,Dragon,N,3.88
1000,Gimmighoul,0.0,9.0,Ghost,N,2.33
1001,Gholdengo,1.0,9.0,Steel,Y,2.5
1002,Wo-Chien,0.0,9.0,Dark,Y,3.5
1003,Chien-Pao,0.0,9.0,Dark,Y,5
1004,Ting-Lu,0.0,9.0,Dark,Y,3
1005,Chi-Yu,0.0,9.0,Dark,Y,4.88
1006,Roaring Moon,0.0,9.0,Dragon,N,4.5
1007,Iron Valiant,0.0,9.0,Fairy,N,2.67
1008,Koraidon,0.0,9.0,Fighting,Y,4.63
1009,Miraidon,0.0,9.0,Electric,Y,2.67
1010,Walking Wake,0.0,9.0,Water,N,4
1011,Iron Leaves,0.0,9.0,Grass,N,2.67
1012,Dipplin,0.0,9.0,Grass,N,3.67
1013,Poltchageist,0.0,9.0,Grass,N,3
1014,Sinistcha,1.0,9.0,Grass,N,3.75
1015,Okidogi,0.0,9.0,Poison,Y,1.67
1016,Munkidori,0.0,9.0,Poison,Y,1.5
1017,Fezandipiti,0.0,9.0,Poison,Y,2.67
1018,Ogerpon,0.0,9.0,Grass,Y,4
1019,Archaludon,0.0,9.0,Steel,N,2.75
1020,Hydrapple,0.0,9.0,Grass,N,4.25
1021,Gouging Fire,0.0,9.0,Fire,N,4
1022,Raging Bolt,0.0,9.0,Electric,N,2.33
1023,Iron Boulder,0.0,9.0,Rock,N,2
1024,Iron Crown,0.0,9.0,Steel,N,3
1025,Terapagos,0.0,9.0,Normal,Y,3.67
1026,Pecharunt,0.0,9.0,Poison,N,2
